what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1240518530827
started,bundle,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views,1240518530827
started,bundle,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,org.eclipse.ui.workbench,1240518530827
started,bundle,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui,1240518530827
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1240518531124
started,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1240518531296
started,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1240518531358
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1240518531577
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1240518531640
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1240518531671
started,bundle,org.eclipse.update.core,3.2.201.R34x_v20080714,org.eclipse.update.core,1240518531843
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1240518531983
started,bundle,org.eclipse.team.core,3.4.1.r34x_20080827,org.eclipse.team.core,1240518532061
started,bundle,org.tigris.subversion.clientadapter,1.6.0.2,org.tigris.subversion.clientadapter,1240518532202
started,bundle,org.tigris.subversion.subclipse.core,1.6.2,org.tigris.subversion.subclipse.core,1240518532265
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1240518532327
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1240518532608
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1240518532608
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1240518532702
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1240518532780
started,bundle,com.ibm.icu,3.8.1.v20080530,com.ibm.icu,1240518532905
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1240518533718
started,bundle,org.eclipse.gmf.runtime.notation,1.1.1.v20080716-1600,org.eclipse.gmf.runtime.notation,1240518539265
started,bundle,org.eclipse.emf.workspace,1.2.2.v200809171833,org.eclipse.emf.workspace,1240518539280
started,bundle,org.eclipse.gmf.runtime.common.core,1.1.0.v20080425-1959,org.eclipse.gmf.runtime.common.core,1240518539280
